iter	Passed	Remaining
288	1054	2595
289	1057	2589
290	1060	2584
291	1063	2579
292	1066	2573
293	1069	2568
294	1072	2563
295	1075	2557
296	1078	2552
297	1081	2546
298	1084	2541
299	1087	2536
300	1089	2531
301	1093	2526
302	1096	2521
303	1098	2515
304	1101	2509
305	1104	2504
306	1107	2499
307	1110	2494
308	1112	2488
309	1115	2483
310	1118	2477
311	1121	2472
312	1123	2466
313	1126	2461
314	1129	2456
315	1132	2450
316	1135	2446
317	1137	2440
318	1140	2435
319	1143	2429
320	1145	2424
321	1148	2418
322	1151	2413
323	1154	2409
324	1157	2404
325	1160	2399
326	1163	2395
327	1166	2390
328	1169	2385
329	1172	2380
330	1175	2375
331	1178	2370
332	1181	2365
333	1183	2360
334	1186	2355
335	1189	2351
336	1192	2346
337	1195	2341
338	1198	2336
339	1201	2331
340	1204	2327
341	1207	2322
342	1210	2318
343	1213	2313
344	1216	2308
345	1219	2304
346	1222	2300
347	1225	2295
348	1228	2290
349	1230	2285
350	1233	2280
351	1236	2276
352	1239	2271
353	1242	2267
354	1245	2262
355	1247	2257
356	1250	2252
357	1253	2248
358	1256	2243
359	1259	2238
360	1262	2234
361	1264	2229
362	1267	2224
363	1270	2220
364	1273	2216
365	1276	2211
366	1279	2207
367	1282	2202
368	1285	2198
369	1288	2194
370	1291	2189
371	1294	2184
372	1296	2179
373	1299	2175
374	1302	2171
375	1305	2166
376	1308	2162
377	1311	2158
378	1314	2153
379	1317	2149
380	1320	2144
381	1323	2140
382	1325	2136
383	1329	2131
384	1331	2127
385	1334	2123
386	1337	2118
387	1340	2114
388	1343	2110
389	1346	2105
390	1348	2100
391	1351	2096
392	1354	2092
393	1357	2088
394	1360	2084
395	1364	2080
396	1367	2076
397	1370	2072
398	1373	2068
399	1375	2063
400	1378	2059
401	1381	2055
402	1384	2051
403	1387	2047
404	1390	2042
405	1393	2038
406	1396	2034
407	1398	2029
408	1401	2025
409	1404	2021
410	1407	2017
411	1410	2013
412	1413	2009
413	1416	2005
414	1419	2001
415	1422	1996
416	1425	1992
417	1429	1989
418	1432	1986
419	1435	1982
420	1438	1978
421	1441	1974
422	1444	1970
423	1447	1966
424	1450	1961
425	1453	1957
426	1456	1953
427	1458	1949
428	1461	1945
429	1464	1941
430	1467	1937
431	1470	1933
